variable,question_text_de,question_text_en,responses_de,constructed_vars,ref_variables,generic_label_de,variable2,generic_label_en,cycle,responses_en,soft_trend_explanation,trend,trend_var,variable3
NA,NA,NA,NA,NA,NA,Geburtsland,J_Q04B,Country of birth,Cycle 1,,NA,Strict,A2_Q03b,J_Q04b
NA,NA,NA,NA,NA,NA,"Muttersprache, die in der Kindheit zu Hause gelernt wurde",J_Q05A1,First language learned at home in childhood,Cycle 1,,NA,Strict,A2_Q04a1,J_Q05a1
NA,NA,NA,NA,NA,NA,In der Kindheit zu Hause gelernte Zweitsprache,J_Q05A2,Second language learned at home in childhood,Cycle 1,,NA,Strict,A2_Q04a2,J_Q05a2
NA,NA,NA,NA,NA,NA,"Sprache, die derzeit zu Hause am häufigsten gesprochen wird",J_Q05B,Language most commonly spoken at home currently,Cycle 1,,NA,Strict,A2_Q04b,J_Q05b
NA,NA,NA,NA,NA,NA,"Gesamtzeit, die für das Training aufgewendet wurde",B_Q18,Total time spent on training,Cycle 1,,The measurement of total time spent on training was changed asking only for the number of hours spent on the last training activity. This was done after the pretest results indicated that this measure resulted in mostly the same kind of answers as in the more complex set of questions.,Soft,B2_Q21,B_Q18
NA,NA,NA,NA,NA,NA,"Gesamtzeit, die für das Training aufgewendet wurde",B_Q19,Total time spent on training,Cycle 1,,The measurement of total time spent on training was changed asking only for the number of hours spent on the last training activity. This was done after the pretest results indicated that this measure resulted in mostly the same kind of answers as in the more complex set of questions.,Soft,B2_Q21,B_Q19
NA,NA,NA,NA,NA,NA,Geburtsland,A2_Q03B,Country of birth,Cycle 2,,NA,Strict,J_Q04b,A2_Q03b
NA,NA,NA,NA,NA,NA,"Muttersprache, die in der Kindheit zu Hause gelernt wurde",A2_Q04A1,First language learned at home in childhood,Cycle 2,,NA,Strict,J_Q05a1,A2_Q04a1
NA,NA,NA,NA,NA,NA,In der Kindheit zu Hause gelernte Zweitsprache,A2_Q04A2,Second language learned at home in childhood,Cycle 2,,NA,Strict,J_Q05a2,A2_Q04a2
NA,NA,NA,NA,NA,NA,"Sprache, die derzeit zu Hause am häufigsten gesprochen wird",A2_Q04B,Language most commonly spoken at home currently,Cycle 2,,NA,Strict,J_Q05b,A2_Q04b
NA,NA,NA,NA,NA,NA,Mutter mit der höchsten Bildung,J2_Q04B,Highest education mother,Cycle 2,,ISCED categories changed,Soft,J_Q06b,J2_Q04b
NA,NA,NA,NA,NA,NA,Vater mit höchster Bildung,J2_Q05B,Highest education father,Cycle 2,,ISCED categories changed,Soft,J_Q07b,J2_Q05b
NA,NA,NA,NA,NA,NA,Ländername ausländische Bildung,B_Q01A2,Country name foreign education,Cycle 1,,NA,Cy1 only,NA,B_Q01a2
NA,NA,NA,NA,NA,NA,Politische Wirksamkeit,I_Q06B,Political efficacy,Cycle 1,,NA,Cy1 only,NA,I_Q06b
NA,NA,NA,NA,NA,NA,Weitere Qualifikationen erworben,B2_Q02A,Obtained other qualifications,Cycle 2,,NA,New in Cy2,NA,B2_Q02a
NA,NA,NA,NA,NA,NA,Welche weiteren Qualifikationen erworben wurden,B2_Q02B,Which other qualifications obtained,Cycle 2,,NA,New in Cy2,NA,B2_Q02b
