"cntryid  `""Country ID (ISO 3166, numeric)""'"
"cntry  `""Country ID and sub-national entity sample code (string)""'"
"cntryid_e  `""Participating country or sub-national entity code (numeric)""'"
"cntry_e  `""Participating country or sub-national entity code (string)""'"
"caseid  `""Household operational ID""'"
"seqid  `""Sequential ID (randomly derived)""'"
"samptype  `""Flag for oversample""'"
"calcage  `""Person age (derived)""'"
"dobyy  `""Date of birth year (derived from BQ)""'"
"dobmm  `""Date of birth (derived from BQ)""'"
"age_r  `""Person resolved age from BQ and QC check (derived)""'"
"gender_r  `""Person resolved gender from BQ and QC check (derived)""'"
"disp_scr  `""Final disposition code for household screener""'"
"ci_persid  `""Sampled person ID entered during case initialization (with check digit)""'"
"ci_gender  `""Respondent gender""'"
"ci_month  `""Respondent month of birth""'"
"ci_year  `""Respondent year of birth""'"
"ci_age  `""Respondent age""'"
"disp_ci  `""Final disposition code for case initialization""'"
"disp_ci_in  `""Final disposition code for case initialization - write-in reason for ineligibili""'"
"disp_8  `""Final disposition code for case initialization - write-in reason for ineligibili""'"
"disp_9  `""Final disposition code for case initialization - write-in reason for ineligibili""'"
"bqlang  `""Language for background questionnaire""'"
"a_d01a1  `""General - Interview month (DERIVED BY CAPI)""'"
"a_d01a2  `""General - Year before interview (DERIVED BY CAPI)""'"
"a_d01a3  `""General - Interview year (DERIVED BY CAPI)""'"
"a_q01a  `""General - Year of birth""'"
"a_q01b  `""General - Month of birth""'"
"a_n01  `""General - Gender of respondent""'"
"a_n01_t  `""Gender (Trend-IALS/ALL)""'"
"b_q01a  `""Education - Highest qualification - Level""'"
"b_q01a_t  `""Highest level of schooling (Trend-IALS/ALL)""'"
"b_s01a1  `""Education - Highest qualification - Name of foreign qualification""'"
"b_s016  `""Education - Highest qualification - Name of foreign qualification""'"
"b_s017  `""Education - Highest qualification - Name of foreign qualification""'"
"b_s01a2  `""Education - Highest qualification - Country of foreign qualification (other)""'"
"b_s014  `""Education - Highest qualification - Country of foreign qualification (other)""'"
"b_s015  `""Education - Highest qualification - Country of foreign qualification (other)""'"
"b_q01a3  `""Education - Highest qualification - Level of foreign qualification""'"
"b_q01a3_c  `""Education - Highest Qualification - Level of foreign qualification (collapsed, 1""'"
"b_q01b  `""Education - Highest qualification - Area of study""'"
"b_q01c1  `""Education - Highest qualification - Age of finish""'"
"b_q01c1_c  `""Education - Highest qualification - Age of finish (categorised, 6 categories)""'"
"b_q01c1_t  `""Age at completion of highest level of schooling (Trend-IALS/ALL)""'"
"b_q01c2  `""Education - Highest qualification - Year of finish""'"
"b_q01d  `""Education - Highest qualification - Month of finish""'"
"b_d01d  `""Education - Highest qualification - Months elapsed since finished (DERIVED BY CA""'"
"b_d01d_c  `""Education - Time elapsed since finished highest qualification (categorised, 5 ca""'"
"b_q02a  `""Education - Current qualification""'"
"b_q02a_t1  `""Education or training in last 12 months (Trend-IALS/ALL)""'"
"b_q02a_t2  `""Courses toward certificate, diploma, or degree in program of studies in last 12 ""'"
